sender_address,total_burned_dwl,win_type
0xc4da1707a7a16cf4ac15d75d6a49a684b23ee1e4,0.012814013518548598,raffle
0x21c106f32e45ec16a377570ee4214d40e2e8a615,0.033375303987781408,raffle
0xtestestetetetetetetetetetetetetetetettet,1.5,guaranteed
0x9f909691735030a324444407d373775302441637,0.000087425589127674,raffle
0xa8ea1af0077111bc3bf132f864a21e359f18340e,0.000646678520657133,raffle
0x11c486e7bf25b8548d8f181420316f01fd43f4a2,0.002171833111,raffle
0x1cdeaf46bede7252ee3bde7d7d9d07cb2338551f,0.000018788601737257,raffle
0xa496a61b864493d096a0ae5f531c2cd8d7687ce7,0.001525272448236361,raffle
0x20dcfc36c572c95323423c691c6c7c0e2cd9bb95,0.000027873201423867,raffle
0xfad9b17897f478f3293306a8f8e5e77fae18e84c,0.000053456338657899,raffle
0xcb927731f27898b30ad85964f9c5b784772cb924,0.009878445965218467,raffle
0x538527f3602acad78596f17b422fcf5613af1409,0.000068016131,raffle
0x47d422fcd0a07267ec6a313209f0bcc001ef511c,0.000026732949963025,raffle
0x0753079190dc6560d36e21bf5171e29738c18f07,0.000036738672211332,raffle
0xbeacf3f9e0294283085e438d91e09ec279547a9b,0.001155891589419058,raffle
0x57de99e9d151398ebb827421f777c707a1226edf,0.002573560459160157,raffle
0x4dd7d4c658e2b3112cd777c4a45122f9ed1b8c73,0.000069168087703382,raffle
0x9b7811daf03499f44eaa9d21c0975e9a8365bcb9,0.000359073518290376,raffle
0xf3f8c895707801dff547ed68c23261ceaf3e2f49,0.000186710949843887,raffle
0x613a17d6c39940a5ae8c61e059edd8a094f58bae,0.000024940865759103,raffle
0x38940d9e7344ba8dfd4fe9bf19afbbddfcc99464,0.000292211606663456,raffle
0x051b8bc9e8e31175a511ef2baed60ef56ea74ad1,0.002228650624608414,raffle
0x75e7702bc91afb60150ad1fa79b8050789f5087c,0.000154705903071892,raffle
0xd0f3dbc5b1c684299ff47a0a678e722a8ddb13d3,0.00178634197015916,raffle
0xee3b64210adb28638d5686c3ceef1b41416cf046,0.000191097497475132,raffle
0xc3ea56540e06f0bc9ee70475663ad6f7d82beb37,0.000067567234686253,raffle
0x8b98a2b443cec1073026ae00043ec828f1e48ae5,0.000001209569476951,raffle
0xd93f61fdbad40c329796d8f5c052f17b1d4654ee,0.000008136743475916,raffle
0x605e39d307bad8c70f0124da9f604434d8067488,0.001273997679420848,raffle
0x41e89dccfcd4abd4e187e7c88fc2a8844e1d2462,0.000004261869970214,raffle
0xc16f9c800e41f332ab07b663af6fd6e9857c4403,0.000232451673440016,raffle
0x4b8b594b5c1da60094d7fb3f29487d21327c21e7,0.000185466399575213,raffle
0xed06dd7e4f31364fe62476b0c2d8c17a46b840b0,0.00162261695603347,raffle
0x6e5c6d240355417d6031968dfe9f237179d493d9,0.00116180009295515,raffle
0xb36fecff4b3608a6f642fb200ae9e3639943610d,0.000290087582146801,raffle
0x96289e0c5e166343915352377e13e94f46815ae1,0.000237748699786054,raffle
0x8fb768bbff9472cdd7cb020fcd6c444cc604c366,0.000095615030765245,raffle
0xa05aedbb0c614e512d417fd8693c95f988159826,0.002276830737850992,raffle
0x9752fdc4a4d65e67cd2508418d2ba6f32828f4e0,0.000092182684175463,raffle
0x9c1fd65f14a4e373b7113f8bc48a4a23cce3b76f,0.000090471197741222,raffle
