latest_burned_block,sender_address,total_burned
12123234,0xtestestetetetetetetetetetetetetetetettet,1500000000000000000
24581229,0xa496a61b864493d096a0ae5f531c2cd8d7687ce7,1525272448236361
24581952,0xd0923537d9819782b387a07e8f9858ee713847b0,6405338800674
24584182,0x6e5c6d240355417d6031968dfe9f237179d493d9,1161800092955150
24583560,0x0d369668cbc7a426656d68c7d4c1b1e95842b480,136556438841310
24579724,0xc16f9c800e41f332ab07b663af6fd6e9857c4403,232451673440016
24582719,0xcb927731f27898b30ad85964f9c5b784772cb924,9878445965218467
24579357,0x42f3cac47e8cf2bf203f341607edcc956f4b6a2b,19904668630121
24579860,0xad155c939d8d745dd488567b18369c13cdd841f4,5387169576179909
24579173,0xa1fb7fa7d0aa54b9f0d2e88599387976bc1fdea1,151885273901447
24584184,0xa6adb403392ff70a0ef71a928a2b45da8b9d661c,18069910144305
24586555,0xe2d9c8a247c6bf98e56bbd82b5b293e6a15bbe39,2361249767968
24586099,0x17b7b52067dad0f084c26ff347a47b4394a65097,9361199922697033
24578959,0xee3b64210adb28638d5686c3ceef1b41416cf046,191097497475132
24578111,0x90fe6711e3c6d9e505f8baeab3a1e9af8cb1bf21,2244898650499660
24582068,0x47d422fcd0a07267ec6a313209f0bcc001ef511c,26732949963025
24579033,0x9b7811daf03499f44eaa9d21c0975e9a8365bcb9,359073518290376
24579168,0x8dbabc10c584131bca118115dc6eb73914c89c34,23058233546660
24580773,0x96289e0c5e166343915352377e13e94f46815ae1,237748699786054
24586205,0xf19aed29a6cd4f5a1b3c8ed79d987e3fc1dca853,955553444000000
24581217,0x8c9256d48029b36af7a5e3340f3e828e0054de45,1000000000000000
24627164,0x8c6febabf9bd4128544b99b2bf918039b3aacc65,11623883127135
24615097,0x8736d1e83ad6ae9315e56f3e5239e151a1984399,783846438283530
24580220,0xf0142fecd89e3f5d50ae8f0f5d04cadcdf62bddd,142204810104112
24589096,0x290f21d529e735780ce0184c12baf9af1fbb2d37,87117835284560
24581907,0xdaf8cc464cb337f1f9ca44331d602ee3a1cc9ca9,1190332571629332
24617755,0xd1cbb0a8cb3218d839a8e910bd84ddeca5a4990e,340850950
24578987,0xbe821f03701a98c2f3fe900b5c0753802f9fa4de,260747393100000
24587478,0x3139da44bf3343d080338e5fa2f37077eaa02a4e,10000000000000
24602544,0xfc4792daef10b21ce4d3e65a775872e87c1281b8,84300518616983
24578945,0x15c3da0697f4e1508eb7f497860e3d2e19e3dd4a,169428857719951
24596073,0x131fb2b873a3a67a146342e62d9964a18b5b541e,5956211696031327
24585477,0x34852016eca9f04373c9c98b72dbc00a75770104,1213941832295520
24635173,0xf7fdb7652171d5c2722b4cdd62c92e90f73c437e,331670284602632
24591652,0x96c542e5cc8c8b675938f5c05f2d22c6ebf74b0f,477962062565
24624796,0x7ba09a0449102f7f2e6398132fde0ce35d1bc985,3141565152792049
24593054,0xf22475b28e05a9db6d20ae4ad8e8da7338acce87,595928127904093
