address,holding_balance,rk
0xea65d45e5999a2bfe01a23df5a40fa5a407db09a,20164040102296360597107590,2
0xfc4b4898a1678ded3046b64ea9c7dca81aee0b51,20000000000000000000000000,3
0x1d53ee199a2de2b88ee3d6f31a207099aadbc90b,20000000000000000000000000,4
0x136928947f9abaf68262f31102b32d75c25e0a69,20000000000000000000000000,5
0x92092fbca11e8f28d459e78f78e27f013b7798c5,20000000000000000000000000,6
0x344b76917b4a31a1ed83f8b4e43ecd7587a7a924,20000000000000000000000000,7
0xd9546a960a2f2feb20bab7c575e594dffa84829e,20000000000000000000000000,8
0x767e095f6549050b4e9a3bcce18aadd28bef486f,19849971000000000000000000,9
0x9a241d67389ca97ee4a3c7c177382b6deabd6a90,16124596673358868878592151,10
0x626358e33076453160a58ebd03cbaef3449f1964,15128766717278847022745591,11
0xfff5d872f617443449f4b40f54e7a04f99755cf9,14427380432850915806453529,12
0xbb9a2876bfe26ac04d2901b0655a0ac8ac4182a0,13050000000000000000000000,13
0xa4e93279ddf89d8dcc200956fbba176eac7bd3a3,12667921840386082898309156,14
0x25de6ee9bb67dca9654259843682be875ab85b5f,11654721849939348675248111,15
0xf81c87fb76f3acf458ebd29df60c92f4b7ce8db3,11000000000000000000000000,16
0xbd1296ca93657947bf344e67c8726ef381ecde37,9264031913745534277308009,17
0x3c790689973796c28796be91024897c5dbd401b4,8974532671210976737130089,18
0xa3c0b3e2504235ff20bdb4770fc74c06d04c6a26,8962715238041157311891353,19
0xb3b8092d87cedad879514059912c35c777c1437f,8343069499541559335069574,20
0x8658dde884ed5e7f9b60d52bde11823d74577bdd,8063654760026555561410137,21
0xbb5cbe428083d48aaa859df700576d6bf2f80eda,7947808214701438134626333,22
0x18ab7637702e57b448051accd5f47a38dc05369b,7797888939294606134318567,23
0xb5a410c5f27b7c3e5b02981ba59a2b3bf900b231,7537708956663753784174663,24
0xdec3035cf641c64876770e1fddd003237a6a95a4,7311750298764333156923212,25
0xd8623b1e0b07a5dc1d28b80ff70b1ff196875873,7301957059231227938471471,26
0x00000b7a7a859f1b7ab55579fd4e7b0b22064f3d,7060663120106789763872405,27
0x348a988bf8211ea395164ae504ca4101943fbee1,7008370311431615199383384,28
0x656bfed4a679f85eb8dbbeddfa9f92664aac9b77,6464372380608701051983107,29
0x21c106f32e45ec16a377570ee4214d40e2e8a615,6438472584568646960210009,30
0xe9fa8c1b4e0457844449b240dafbf97b7e748a2d,6246361859887321139947221,31
0x09de46dff9e65158a575f5ac79f9315e4d0161e1,6079343049361932525712886,32
0x221268f32daa6b36cac59343220f26da444e26f7,5696864298370317078215474,33
0x6552d32c1a0563d6bd434c761771341058862f78,5636346131434612200395248,34
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,5500197627312405537527959,35
0x1ead4dac5b7c69a296465123124265f51f7c5eba,5426404190220757422395755,36
0x58b77d4fe7d93fba7de47fb701939d3c53388696,5196996987523285936269776,37
0xdf23bf18ca70ead6da8820e5b03ae29d98fbf61a,5023971197587326147741735,38
0xb9bdb21ef696eb1b23df63e4e231c933f3de23db,5008946437463985874347388,39
0x55d7809b8f750e48c7141a86395e299af56f739c,5000000000000000000000000,40
0xce485e854ef129d13dc1e25d103412bd25e97904,5000000000000000000000000,41
0x8bc2a10797753f93814a58eb5244035365884760,5000000000000000000000000,42
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,5000000000000000000000000,43
0x1b72f3894316e5c52a0d9f989fd76abe365b8854,5000000000000000000000000,44
0xea6c1c1141bc468944e0812d8cc42d34a8d77998,5000000000000000000000000,45
0x21f415ffff4963df2f612580ca9aa7058d722273,5000000000000000000000000,46
0x21ea9d95b03e2714cf0f0ef3a2c07efcacca3785,5000000000000000000000000,47
0xddc23d34ea2f6920d15995607d00def9478ded6d,5000000000000000000000000,48
0x33df9ab6407cceb6d9fe9d471e15f97c681ad179,5000000000000000000000000,49
0xadd0c43684138790bf4ae42efda4c4dc851aa27d,4938252859987538366307052,50
0xfbc3692deeb263f39c3a30d6d0c0496d97686011,4891561034473030739059262,51
0xf9b48051d6441b32aa2702716f8e4cffc62d9d07,4500000000000000000000000,52
0xda3b3f302f78b0b255fedaf5b539eec244ec0b02,4470305173520897738410697,53
0xfb02ac5b058b6de68a23c8400344d64c49de08b9,4457708751680869510092360,54
0xe70de11da5e903d6a64e82719f6484f0849680a1,4433252400929635229354901,55
0xb6a30fd5ed09dadd85ff5d6c0c704273053f6bc3,4421584139960920810842196,56
0xafca747b067c40ae0dda3f170ae971a2cbf4d05c,4272762685075386313040958,57
0x8bab3ea3df191475918faa5aa541f8a52d1744cb,4249879718631262068738891,58
0xb70399fc376c1b3cf3493556d2f14942323ef44f,4130946480152280728952178,59
0x4be48570a6c9e6966c191f6135272cb289e72215,4000093361744913130270389,60
0xdae3d42230b6a9d43834cb292032f01143f8ea8a,4000000000000000000000000,61
0x27741dfa39bc5385a4d2c884ad2b8592059b04ab,3919416352626957024726587,62
0x8d0f71a39ffe6b0a5a09ff0865b92c77a77db23c,3912945187104099469834614,63
0x7d5e6e52443433bb8df673844b16a391d770d001,3750000000000000000000000,64
0x57de99e9d151398ebb827421f777c707a1226edf,3750000000000000000000000,65
0x12bedff5350f138d9f2975018729301857cdf2e6,3642736201160964763524756,66
0xf6ca173de68863fef0e5f6c5e9cbcf4420c4dc5e,3531944157475035482996984,67
0xf84f39bae21306277da76e900d7f3e795320c031,3379081314153633059322366,68
0xf57e04d7f891ae4e5a4dea6cd9d23c7e2b2a6db2,3298750312500000000000000,69
0x2020f42e976edb34703afff67ba14b0ac106a2ee,3280500000000000000000000,70
0xd70bee6ecf598132ef921928d0da99691c14dfc0,3240000000000000000000000,71
